Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-09-13,132.67,133.7467,131.85,132.45,4679486.0,0.0,1.0,125.81064518509976,126.83167723206441,125.03304113707247,125.60201970879976,4679486.0
2017-09-12,133.83,133.88,131.93,132.63,5465190.0,0.0,1.0,126.91067042377254,126.9580853047498,125.10890494663612,125.77271328031794,5465190.0
2017-09-11,131.37,133.34,131.02,133.21,5724233.0,0.0,1.0,124.57785827969064,126.44600459019524,124.24595411284973,126.32272589965434,5724233.0
2017-09-08,132.0,132.34,130.87,130.98,4854414.0,0.0,1.0,125.17528578000429,125.49770697064976,124.1037094699179,124.20802220806789,4854414.0
2017-09-07,130.86,132.52,130.25,132.19,3800229.0,0.0,1.0,124.09422649372246,125.66840054216796,123.51576494579969,125.35546232771793,3800229.0
2017-09-06,130.54,131.0,130.21,130.67,5601903.0,0.0,1.0,123.79077125546787,124.2269881604588,123.47783304101787,123.91404994600879,5601903.0
2017-09-05,130.72,131.18,129.72,129.9,5154935.0,0.0,1.0,123.96146482698607,124.397681731977,123.01316720744059,123.18386077895877,5154935.0
2017-09-01,132.6,132.65,130.935,131.03,3820814.0,0.0,1.0,125.74426435173159,125.79167923270887,124.16534881518835,124.25543708904517,3820814.0
2017-08-31,131.39,132.5,131.25,132.37,7407143.0,0.0,1.0,124.59682423208153,125.64943458977704,124.46406256534517,125.52615589923613,7407143.0
2017-08-30,132.0,132.0,130.9,131.07,5430781.0,0.0,1.0,125.17528578000429,125.17528578000429,124.13215839850426,124.29336899382699,5430781.0
2017-08-29,131.57,132.45,131.3,132.21,3277875.0,0.0,1.0,124.76751780359973,125.60201970879976,124.51147744632246,125.37442828010886,3277875.0
2017-08-28,131.68,132.12,131.49,131.74,5348381.0,0.0,1.0,124.87183054174974,125.28908149434976,124.6916539940361,124.92872839892247,5348381.0
2017-08-25,131.91,132.56,131.62,131.68,4133347.0,0.84,1.0,125.0899389942452,125.70633244694977,124.81493268457702,124.87183054174974,4133347.0
2017-08-24,132.82,133.08,132.27,132.89,5398232.0,0.0,1.0,125.15451654508904,125.39951108131646,124.63625887230033,125.22047661253487,5398232.0
2017-08-23,134.43,134.49,132.65,132.8,5129938.0,0.0,1.0,126.67159809634333,126.72813529701119,124.99432780986344,125.1356708115331,5129938.0
2017-08-22,133.27,134.79,132.9,134.7,4150032.0,0.0,1.0,125.57854555009801,127.01082130035049,125.22989947931286,126.9260154993487,4150032.0
2017-08-21,132.28,133.65,132.1875,133.45,4659963.0,0.0,1.0,124.6456817390783,125.93661448766113,124.55852022138201,125.74815715210158,4659963.0
2017-08-18,132.67,133.78,132.381,132.63,4792761.0,0.0,1.0,125.01317354341938,126.05911175577482,124.74085269353586,124.97548207630747,4792761.0
2017-08-17,134.18,134.74,133.0314,133.04,5741389.0,0.0,1.0,126.4360264268939,126.96370696646062,125.35371594877547,125.36181961420453,5741389.0
2017-08-16,134.08,134.97,133.86,134.17,4469937.0,0.0,1.0,126.34179775911414,127.18043290235407,126.13449468999865,126.42660356011591,4469937.0
2017-08-15,133.85,133.94,133.195,133.38,3931763.0,0.0,1.0,126.12507182322067,126.20987762422246,125.50787404926317,125.68219708465574,3931763.0
2017-08-14,134.2,134.37,132.87,133.48,3041064.0,0.0,1.0,126.45487216044984,126.61506089567547,125.20163087897893,125.77642575243551,3041064.0
2017-08-11,133.64,134.49,132.75,133.1,4270571.0,0.0,1.0,125.92719162088314,126.72813529701119,125.08855647764321,125.4183568148724,4270571.0
2017-08-10,133.04,133.8501,132.37,133.09,5607753.0,0.0,1.0,125.36181961420453,126.12516605188844,124.73048754008009,125.40893394809443,5607753.0
2017-08-09,132.81,133.41,132.365,133.23,6332347.0,0.0,1.0,125.14509367831107,125.71046568498967,124.7257761066911,125.54085408298609,6332347.0
2017-08-08,132.5,132.8,131.4,132.27,5535804.0,0.0,1.0,124.85298480819378,125.1356708115331,123.81646946261633,124.63625887230033,5535804.0
2017-08-07,133.09,133.48,132.51,132.86,3010828.0,0.0,1.0,125.40893394809443,125.77642575243551,124.86240767497175,125.19220801220096,3010828.0
2017-08-04,133.74,134.01,132.8,133.18,3192805.0,0.0,1.0,126.02142028866292,126.27583769166829,125.1356708115331,125.49373974909622,3192805.0
2017-08-03,131.91,133.4,131.51,133.35,4327179.0,0.0,1.0,124.29703566829315,125.7010428182117,123.92012099717407,125.65392848432181,4327179.0
2017-08-02,132.08,132.5,131.5,132.16,4032147.0,0.0,1.0,124.45722440351877,124.85298480819378,123.9106981303961,124.53260733774256,4032147.0
2017-08-01,133.17,133.35,132.28,132.51,3837566.0,0.0,1.0,125.48431688231823,125.65392848432181,124.6456817390783,124.86240767497175,3837566.0
2017-07-31,132.14,133.58,132.1,132.72,5440788.0,0.0,1.0,124.5137616041866,125.8706544202153,124.4760701370747,125.06028787730928,5440788.0
2017-07-28,131.14,131.99,130.52,131.85,4970860.0,0.0,1.0,123.57147492638892,124.37241860251697,122.98725718615437,124.24049846762529,4970860.0
2017-07-27,130.85,131.15,129.5711,130.83,5838110.0,0.0,1.0,123.29821178982759,123.58089779316691,122.09312135759214,123.27936605627166,5838110.0
2017-07-26,131.66,132.24,130.75,130.95,5382182.0,0.0,1.0,124.06146399884372,124.60799027196639,123.20398312204783,123.39244045760735,5382182.0
2017-07-25,133.74,133.8499,131.45,131.88,6262907.0,0.0,1.0,126.02142028866292,126.12497759455287,123.8635837965062,124.26876706795922,6262907.0
2017-07-24,134.99,135.16,132.85,133.01,8306444.0,0.0,1.0,127.19927863591003,127.35946737113564,125.18278514542297,125.33355101387059,8306444.0
2017-07-21,135.33,136.27,135.1,135.31,6773546.0,0.0,1.0,127.51965610636125,128.40540558349107,127.30293017046777,127.50081037280529,6773546.0
2017-07-20,135.73,137.08,135.62,136.57,6088417.0,0.0,1.0,127.8965707774803,129.16865779250722,127.79291924292258,128.68809158683038,6088417.0
2017-07-19,134.84,135.41,134.52,135.21,5503298.0,0.0,1.0,127.05793563424038,127.59503904058505,126.75640389734512,127.40658170502553,5503298.0
2017-07-18,131.62,134.95,131.0801,134.46,10255960.0,0.0,1.0,124.02377253173182,127.1615871687981,123.51503195438883,126.69986669667726,10255960.0
2017-07-17,132.71,132.93,131.75,132.15,4936892.0,0.0,1.0,125.05086501053131,125.2581680796468,124.14626979984551,124.5231844709646,4936892.0
2017-07-14,132.0,133.0,131.74,132.6,4383107.0,0.0,1.0,124.38184146929494,125.32412814709262,124.13684693306755,124.94721347597354,4383107.0
2017-07-13,132.1,132.22,130.99,131.86,4424422.0,0.0,1.0,124.4760701370747,124.58914453841042,123.43013192471928,124.24992133440328,4424422.0
2017-07-12,132.04,132.89,131.77,132.23,5053248.0,0.0,1.0,124.41953293640684,125.22047661253487,124.16511553340148,124.5985674051884,5053248.0
2017-07-11,131.43,131.79,130.48,131.23,3733048.0,0.0,1.0,123.84473806295026,124.18396126695741,122.94956571904244,123.65628072739071,3733048.0
2017-07-10,132.74,132.87,131.23,131.55,4019587.0,0.0,1.0,125.07913361086524,125.20163087897893,123.65628072739071,123.957812464286,4019587.0
